year,x,sex,dx,ex,lx,mx,qx
1981,40,female,148.8,37.12,97227.4,0.001531,0.00153
1981,40,male,273.5,31.64,95156.8,0.002879,0.002875
1981,41,female,145.1,36.17,97078.6,0.001495,0.001494
1981,41,male,330.7,30.73,94883.3,0.003492,0.003486
1981,42,female,202.9,35.23,96933.6,0.002096,0.002093
1981,42,male,343.6,29.84,94552.6,0.00364,0.003633
1981,43,female,199.4,34.3,96730.6,0.002064,0.002062
1981,43,male,337.5,28.94,94209,0.003589,0.003582
1981,44,female,242.6,33.37,96531.2,0.002517,0.002513
1981,44,male,403.9,28.05,93871.5,0.004312,0.004303
1981,45,female,266.5,32.45,96288.6,0.002771,0.002767
1981,45,male,500.4,27.17,93467.6,0.005368,0.005353
1981,46,female,268.5,31.54,96022.1,0.0028,0.002797
1981,46,male,455.3,26.31,92967.2,0.00491,0.004898
1981,47,female,330.8,30.63,95753.6,0.003461,0.003455
1981,47,male,546.8,25.44,92511.9,0.005928,0.00591
1981,48,female,324.3,29.73,95422.8,0.003404,0.003398
1981,48,male,679.7,24.58,91965.1,0.007418,0.007391
1981,49,female,435.7,28.83,95098.5,0.004592,0.004581
1981,49,male,618.8,23.76,91285.4,0.006802,0.006778
1981,50,female,492.7,27.96,94662.8,0.005218,0.005204
1981,50,male,767.9,22.92,90666.7,0.008506,0.00847
1981,51,female,488.4,27.1,94170.1,0.0052,0.005186
1981,51,male,818,22.11,89898.7,0.009141,0.0091
1981,52,female,512.7,26.24,93681.7,0.005488,0.0054730000000000004
1981,52,male,942.7,21.31,89080.7,0.010639,0.010583
1981,53,female,633.5,25.39,93169,0.006823,0.0068
1981,53,male,992.5,20.54,88138,0.011324,0.01126
1981,54,female,642.1,24.56,92535.5,0.006963,0.006939
1981,54,male,1053.7,19.76,87145.5,0.012165,0.012091
1981,55,female,672.4,23.72,91893.4,0.007344,0.007317
1981,55,male,1170.6,19,86091.8,0.01369,0.013597
1981,56,female,807.8,22.89,91221,0.0088940000000000009,0.008855
1981,56,male,1277.3,18.25,84921.2,0.015155,0.015041
1981,57,female,836.9,22.09,90413.3,0.0093,0.009257
1981,57,male,1383.5,17.53,83643.9,0.016679,0.016541
1981,58,female,962.8,21.3,89576.4,0.010806,0.010748
1981,58,male,1618.9,16.81,82260.4,0.019876,0.01968
1981,59,female,940.1,20.52,88613.6,0.010666,0.010609
1981,59,male,1683.6,16.14,80641.5,0.021098,0.020878
1981,60,female,1068.9,19.74,87673.5,0.012266,0.012191
1981,60,male,1798.8,15.47,78957.9,0.023045,0.022782
1981,61,female,1124.6,18.97,86604.6,0.01307,0.012985
1981,61,male,1820.6,14.82,77159.1,0.023877,0.023596
1981,62,female,1278.3,18.22,85480,0.015067,0.014955
1981,62,male,1993.7,14.17,75338.5,0.026818,0.026463
1981,63,female,1433.6,17.49,84201.7,0.017172,0.017026
1981,63,male,2087.6,13.54,73344.8,0.028874,0.028463
1981,64,female,1466,16.78,82768.1,0.01787,0.017712
1981,64,male,2092.3,12.92,71257.2,0.0298,0.029362
1981,65,female,1531,16.07,81302.1,0.01901,0.018831
1981,65,male,2174.1,12.3,69164.9,0.031936,0.031434
1981,66,female,1642.7,15.37,79771,0.020807,0.020593
1981,66,male,2477.4,11.68,66990.8,0.037677,0.036981
