country,year,sex,e0,label,include,ch_e0
CZE,1993,male,69.25,Czechia,1,0.730000000000004
DEUTNP,1993,male,72.63,Germany,1,0.09999999999999432
DNK,1993,male,72.6,Denmark,1,0.03999999999999204
ESP,1993,male,74.11,Spain,1,0.20000000000000284
EST,1993,male,62.48,Estonia,1,-1.0300000000000011
FIN,1993,male,72.11,Finland,1,0.4399999999999977
FRATNP,1993,male,73.25,France,1,0.09999999999999432
GRC,1993,male,74.87,Greece,1,0.25
HUN,1993,male,64.65,Hungary,1,-0.009999999999990905
IRL,1993,male,72.56,Ireland,1,-0.12000000000000455
ISL,1993,male,77.05,Iceland,1,0.3400000000000034
ISR,1993,male,75.48,Israel,1,0.5900000000000034
ITA,1993,male,74.36,Italy,1,0.39000000000000057
JPN,1993,male,76.27,Japan,1,0.12999999999999545
LTU,1993,male,63.12,Lithuania,1,-1.6600000000000037
LUX,1993,male,72.13,Luxembourg,1,0.25
LVA,1993,male,60.38,Latvia,1,-2.1999999999999957
NLD,1993,male,73.98,Netherlands,1,-0.3199999999999932
NOR,1993,male,74.24,Norway,1,0.06999999999999318
NZL_NP,1993,male,73.76,New Zealand,1,0.6500000000000057
POL,1993,male,67.12,Poland,1,0.6600000000000108
PRT,1993,male,71.11,Portugal,1,-0.030000000000001137
RUS,1993,male,58.79,Russia,1,-3.1700000000000017
SVK,1993,male,67.74,Slovakia,1,0.6799999999999926
SVN,1993,male,69.33,Slovenia,1,-0.23000000000000398
SWE,1993,male,75.49,Sweden,1,0.12999999999999545
TWN,1993,male,72.09,Taiwan,1,0.25
UKR,1993,male,63.17,Ukraine,1,-0.6400000000000006
GBR_NP,1993,male,73.44,United Kingdom,1,-0.07000000000000739
USA,1993,male,72.17,USA,1,-0.14999999999999147
AUS,1994,female,80.82,Australia,1,-0.1700000000000017
AUT,1994,female,79.63,Austria,1,0.28999999999999204
BEL,1994,female,79.99,Belgium,1,0.25
BGR,1994,female,74.81,Bulgaria,1,-0.29999999999999716
BLR,1994,female,74.36,Belarus,1,-0.12999999999999545
CAN,1994,female,80.89,Canada,1,0.09999999999999432
CHE,1994,female,81.7,Switzerland,1,0.28000000000000114
CZE,1994,female,76.65,Czechia,1,0.21999999999999886
DEUTNP,1994,female,79.51,Germany,1,0.30000000000001137
DNK,1994,female,78.1,Denmark,1,0.3299999999999983
ESP,1994,female,81.72,Spain,1,0.37999999999999545
EST,1994,female,72.99,Estonia,1,-1.0900000000000034
FIN,1994,female,80.15,Finland,1,0.6700000000000017
FRATNP,1994,female,81.89,France,1,0.4300000000000068
GRC,1994,female,80.33,Greece,1,0.25
HUN,1994,female,74.46,Hungary,1,0.47999999999998977
IRL,1994,female,78.66,Ireland,1,0.5
ISL,1994,female,81.27,Iceland,1,0.45999999999999375
ISR,1994,female,79.51,Israel,1,0.27000000000001023
ITA,1994,female,81.07,Italy,1,0.23999999999999488
JPN,1994,female,82.9,Japan,1,0.45000000000000284
LTU,1994,female,74.76,Lithuania,1,-0.1700000000000017
LUX,1994,female,79.45,Luxembourg,1,0.25
LVA,1994,female,72.25,Latvia,1,-0.9500000000000028
NLD,1994,female,80.3,Netherlands,1,0.3100000000000023
NOR,1994,female,80.65,Norway,1,0.4100000000000108
NZL_NP,1994,female,79.65,New Zealand,1,0.46999999999999886
POL,1994,female,76.08,Poland,1,0.25
PRT,1994,female,79.25,Portugal,1,0.8400000000000034
RUS,1994,female,71.06,Russia,1,-0.7800000000000011
SVK,1994,female,76.47,Slovakia,1,0.3299999999999983
SVN,1994,female,77.7,Slovenia,1,0.15000000000000568
SWE,1994,female,81.38,Sweden,1,0.5999999999999943
TWN,1994,female,77.86,Taiwan,1,0.3199999999999932
UKR,1994,female,72.95,Ukraine,1,-0.3999999999999915
GBR_NP,1994,female,79.31,United Kingdom,1,0.5400000000000063
USA,1994,female,79.06,USA,1,0.12000000000000455
AUS,1994,male,74.92,Australia,1,-0.12000000000000455
AUT,1994,male,73.12,Austria,1,0.35999999999999943
BEL,1994,male,73.35,Belgium,1,0.4099999999999966
BGR,1994,male,67.23,Bulgaria,1,-0.3399999999999892
BLR,1994,male,63.42,Belarus,1,-0.30999999999999517
CAN,1994,male,74.87,Canada,1,0.2400000000000091
CHE,1994,male,75.14,Switzerland,1,0.23999999999999488
